Author,year,Title,Type_study,Type_study_clean,Number_species,Number_species_clean,Taxon,Phenophases,climate_variable,effect_magnitud,Main results,Region,Observations,Opinion,More_information
Parmesan (2007),2007,"Influences of species, latitudes and methodologies on estimates of phenological response to global warming",Observational (time series),Observational,"Parmesan & Yahe (2003): Butterflies 35, trees 12, herb 85 y shrub 5; Root et al (2003): Butterflies 30, trees 15, herb 3, shrub 2",203,Plants and animals,spring phenophases,temperature,days/decade,"butterfly emergence or migratory arrival showed three times stronger advancement than the firs flowering of herbs, perhaps portending increasing asynchrony in insect–plant interactions. despite expectation, latitude was not yet an important predictor of climate change impacts on phenology. data-sampling methodologies significantl impact global (synthetic) estimates of magnitude of global warming response.",north hemisphere,"plants and animals (including butterfly). Compara dos data set de dos papers Root et al (2003) y Parmesan & Yohe (2003). A related question is: ‘do the available data accurately reflect trends in natural systems, or are they biased?’",Podemos decir que es “original” pero me parece un choreo. Basicamente compara los resultados de dos de sus meta-analisis,NA
Root et al (2003),2003,Fingerprints of global warming on wild animals and plants.,"No especifican si la info es observacional o experimental, supongo que puede haber de todo",NA,1468 pero hay de todo ahi dentro y no especifican.,1468,Plants and animals,NA,temperature,days/decade,More than 80% of the species they evaluate respond to the increase in temperature in the same expected direction.,north hemisphere ,NA,Una caja negra directamente,NA
Parmesan & Yohe (2003),2003,A globally coherent fingerprint of climate change impacts across natural systems,"No especifican. Dicen que no fue un review exhaustivo. Y los papers deberian ser: long temporal span (mas d 20 años), data de grandes areas geograficas y de estudios multiespecies.",Observational,"woody plants: 38, herb plants: 38, mixed plants: 385, insects: 35",677,Plants and animals,spring phenophases,temperature,days/decade,2.3-day advance in earlier spring timing per decade,north hemisphere,"tambien usan estudios que evaluna cambios de rangos de las especies. ""El meta-análisis fenológico se centró en los eventos de sincronización de primavera, ya que no había suficientes estudios sobre la fenología de otoño para justificar un análisis. Nueve estudios publicaron magnitudes de cambio en un período de tiempo determinado (17-61 años). Estos incluyeron 11 árboles, 6 arbustos, 85 hierbas, 35 mariposas, 21 aves, 12 anfibios y 2 peces.  ",NA,para las plantas usan first flowering y tree budburst. Y para insectos peak flight date
Artf et al. (1999),1999,Responses of Tundra plants to experimental warming: meta-analysis of the international tundra experiment,Experimental,Experimental,63 aproxi,63,Plants,"Leaf bud, anthesis (first day in which glumes are open), senescence",temperature,sensitivity (Control days – experimental days),"Flowering occurred earlier in the hottest plots, in turn vegetative growth was greater in those plots (in the first years of the experiment)",north hemisphere,NA,"Esta bueno, detallado en los metodos lo cual permite cierta replicabilidad. No se que onda la magnitud de efectos que usan para los datos fenologicos, aparentemente basatante sencilla e informativa.","para los datos fenologicos (que son dias, donde no hay ceros verdaderos) calculan la mag de efecto como la resta simple de los dias, PD: X eperimental – X control. Esto les permite ver si el evento ocurre antes o desp con respecto al control. Como los datos ya están en la misma escala (días del calendario), esta diferencia directa es suficiente para evaluar el cambio sin necesidad de realizar ajustes adicionales o calcular otras métricas de efecto más complejas."
Cleland et al. (2012),2012,Phenological tracking enables positive species responses to climate change,Experimental,Experimental,57,57,Plants,first flowering date,temperature,sensitivity (Control days – experimental days),Species that advanced in their flowering also increased their performance,north hemisphere,"""warming studies in Google Scholar using the search string “Web of Science (ISI) for Topic = (warm* OR temperature*) AND Topic = (plant* AND phenolog*) AND Topic = (experiment* OR manip*)”",NA,NA
Everinham et al. (2021),2021,Southern hemisphere plants show more delays than advances in flowering phenology,Long term data de Australia. Complementaron con informacion de herbario para la floracion y field work,Observational,37 de Australia,37,Plants,"full flowering, first flowering , end flowering",temperature,days/decade,58% of the species in the south advanced their flowering in contrast to 85% of the species in the north that advanced their flowering due to climate change.,Australia,"Dan el link de Github para revisar el codigo! Muy bueno. En este paper logran unificar el meta analisis con su trabajo de campo, puede ser util para pensar el plan. Hacen una busqueda de papers para ver si hay diferencias en la respuesta segundo el hermisferio (puede haber papers a utilizar ahi)",Creo que podria ser dos papers jaja.,
Ge et al. (2014),2014,Phenological response to climate change in China: meta-analysis,long term data of China (at least 20 years),Observational,"57 trees, 22 shrubs, 17 herbs y 2 insectos (no se que seran capaz mariposas)",112,Plants and animals,"full flowering, first flowering  and end flowering",temperature,days/decade,"Most of the early phenophases (90%) showed an advance, 70% of the later phenophases showed ahead. Early childhood would be more affected.",China,NA,NA,NA
Guo et al. (2023),2023,Mata-analitic and experimental evidence that warmer climate leads to shift from advance to delayed spring phenology,Experimental,Experimental,276 herbs and trees (825 observation) and 220 experiments with Aradidopsis,277,Plants,Leaf-out and flowering ,temperature,sensitivity (days per C),found that the responses of spring leafing and flowering of woody and herbaceous plants gradually converted from advancing to delaying with the increase in warming extent,north hemisphere,"We established a new experimental database, Synthesis of Spring Phenology in Warming Experiment (SSPWE), which includes data from 87 warming experiments on the response of spring phenology to warming worldwide. To this end, we first searched the Web of Science for Topic (warm* OR temperature*) AND Topic (plant*AND = = phenolog*) AND Topic = (experiment* OR manip*) in June 2020, which = yielded 2719 studies.",NA,NA
Huang et al. (2020),2020,Phenological changes in herbaceous plants in China’s grasslands and their responses to climate change: a meta-analysis,"observational (time series of at least 8 years, hasta 35 años)",Observational,108 species/location (24 estudios). 42 especies from 23 genera. ,42,Plants,spring phenophases and autumn phenophases,temperature and precipitation ,days/decade,"The results showed that the spring phenophases (e.g., first leaf date and first flowering date) of the herbaceous plants mainly advanced over the past 30 years, but a large difference existed across grassland types.",China,"Especifico de herbaceous plants. The spring phenophases represent the events that occur at the start of the growing season, including the bud burst date (BBD), the first leaf date (FLD), the date of 50% leaf unfolding (50LU), and the first flowering date (FFD). ). The autumn phenophases included the date of 50% leaf coloring (50LC) and the end date of leaf coloring (ELC). 2) When assessing the phenological changes across different re
Gions, many studies have suggested using time series with at least 15 years to ensure an accurate estimate (Menzel et al. 2006; Ge et al. 2015). Because of the limited observation data,
approximately half of the time series in this study is less than 20 years.","Esta bueno, tiene buenos graficos y un analisis descriptivo del data set interesante. ",NA
"Wolkovich et al., (2012)",2012,Warming experiments underpredict plant phenological responses to climate change,observational and experimental,observational and experimental,1634,1634,Plants,flowering and leafing ,temperature,sensitivity (days per C),"We show that warming experiments underpredict advances in the timing of flowering and leafing compared with long-term observations.The observational data also showed that species that flower earliest in the spring have the highest temperature sensitivities, but this trend was not reflected in the experimental data.",Global,,Muy bueno,NA
Zhou et al. (2022),2022,Lengthened flowering season under climate warming: Evidence from manipulative experiments,Experimental,Experimental,168 especies,168,Plants,flowering season date and flowering duration,temperature,Hedges' g,The warming impacts on the flowering season of wind pollinated (-4.53%) and insect-pollinated species (+4.21%) were opposite.,north hemisphere,"Flowering duration, flowering season, flowering period, warming, increased temperature, elevated temperature, and rising temperature were used as keywords in the search process.",NA,NA
Zhou et al. (2022),2022,Climate warming interacts with other global change drivers to influence plant phenology: A meta-analysis of experimental studies,Experimental ,Experimental,"242 estudios, 9571 observaciones",9571,Plants,"leaf out, first flowering, fruiting, leaf coloring","temperature,precipitation and nitrogen addition",Hedges' g,"We show that leaf out and first flowering were most strongly affected by warming, while warming and decreased precipitation were the most pronounced drivers for leaf colouring, 2) + + + W + IP and W + eCO2 were frequently synergistic, whereas interactions W + N and O2 + W + DP were mostly antagonistic",north hemisphere," assess interactions between warming (W) and other global change drivers including nitrogen addition (N), increased precipitation (IP), decreased precipitation (DP) and elevated CO2 (eCO2) on multiple phenophases in experimental studies. 2) Accordingly, the interaction types were classified as ad ditive, synergistic, and antagonistic interactions based on the 95% CI of the interaction effect, following the method in Zhou et al. (2016, 2020). If the 95% CI overlapped with 0, the interaction effect was insignificant, indicating an ad ditive effect. If not, the interaction effect was significant, in which case we considered an interaction as synergistic when had the same sign as the sum of dA and dB but as A×B dA B antagonistic when d had the opposite sign dA×B",Lo bueno es que incorporan multiples factores ,NA
